,Source,Expected,Predicted
0,"Cyrus Harding expected to reach, without incident, the course of the creek, which he supposed flowed under the trees at the border of the plain, when he saw Herbert running hastily back, while Neb and the sailor were hiding behind the rocks.","Cyrus Smith croyait donc atteindre, sans incident, le cours du creek, qui, suivant lui, devait se dérouler sous les arbres, à la lisière de la plaine, quand il vit revenir précipitamment Harbert, tandis que Nab et le marin se dissimulaient derrière les roches.","Cyrus Smith s ' attendait à atteindre , sans incident , la direction du creek , qu ' il croyait coulant sous les arbres , à la lisière de la plaine , quand il vit Harbert qui courait précipitamment le dos à la hâte , tandis que Nab et le marin se derrière les roches ."
1,"'Was Danton justified in stealing?' he said to her sharply, and with an air that grew more and more savage.",– Danton a-t-il bien fait de voler ? lui dit-il brusquement et d’un air qui devenait de plus en plus farouche.,"– Danton était - il en voler en voler ? lui dit - il brusquement , et d ’ un air qui devenait de plus en plus sauvage ."
2,You are lucky to remain cool.,Tu es heureux de rester froid.,Vous avez eu le bonheur de rester froide .
3,"She looked at him without listening, and said at last, speaking familiarly:","Elle le regardait sans l'écouter, elle dit enfin, en le tutoyant:","Elle le regarda sans l ’ écouter , et dit enfin en parlant familièrement :"
4,You understand me?,Vous me comprenez ?,Vous me comprenez ?
5,"When they turned their heads, they imagined that Camille had drawn a chair there, and occupied this space, warming his feet in a lugubrious, bantering fashion.","Quand ils tournaient la tête, ils s'imaginaient que Camille avait approché un siège et qu'il occupait cet espace, se chauffant les pieds d'une façon lugubrement goguenarde.","Quand ils tournaient la tete , ils s ' imaginaient que Camille avait une chaise , occupé de ce vide , de les pieds , d ' une façon lugubre ."
6,"And it seemed that the darkness was an unknown blackness, thickened by the floating coal dust, made heavy by the gas which weighed on the eyes.","Et il semblait que les ténebres fussent d'un noir inconnu, épaissi par les poussieres volantes du charbon, alourdi par des gaz qui pesaient sur les yeux.","Et il semblait que l ' obscurité se faisait un noir inconnu , par la poussiere du charbon , rendu un lourd lourd parfum dont les yeux s ' agitaient ."
7,"This enclosure would be large enough to contain a hundred musmons and wild goats, with all the young ones they might produce.","Cette enceinte pourrait contenir, en même temps qu'une centaine d'animaux à cornes, mouflons ou chèvres sauvages, les petits qui viendraient à naître par la suite.","Cet enclos serait assez grand pour contenir une centaine de mouflons et de chèvres sauvages , et avec tous les jeunes qu ' on pouvait leur donner ."
8,"The captain rose to please her, chiding her with a smile of satisfaction,−−","Le capitaine se leva pour lui complaire, en la grondant avec un sourire de satisfaction :","Le capitaine se leva pour lui plaire , la avec un sourire de satisfaction :"
9,"The orangery, which was at the other end, led by a covered way to the outhouses of the chateau.","L’orangerie, que l’on trouvait au bout, menait à couvert jusqu’aux communs du château.","Les , qui avaient l ’ autre bout , conduits par un chemin jusqu ’ aux du château ."
10,"There is no one who knows the Prince better than I do, and there is no one who trusts him less.",Il n'est personne qui connaisse mieux que moi le prince; il n'est personne qui ait moins que moi confiance en lui.,"Il n ’ y a personne qui sait mieux que moi , et qui ne trouve pas un qui en a moins de ."
11,'Suppositions - despair - fatigue -1 cling to the thought of to-morrow.,Suppositions – Désespoir – Fatigue. Je me raccroche à cette pensée : demain.,"de désespoir , je me à la pensée du lendemain ."
12,"You are all too cowardly.""",Vous etes tous trop lâches.,Vous êtes trop lâche .
13,"""Yes, sir, but the chance of five pounds is but a poor thing compared to the chance of having your throat cut.","– Oui, monsieur ; mais la chance de gagner cinq livres compte peu à côté de celle d’avoir la gorge tranchée.","– Oui , monsieur , mais la chance de cinq livres est bien pauvre pour l ’ occasion d ’ avoir votre gorge coupée ."
14,"Il courut chez lui, prit de bonnes armes et repassa devant ce palais.","He hastened home, armed himself well, and again passed before the palazzo.","He ran to him , took good arms and left the time before this palazzo ."
15,"It was no longer the secretary of the association who was speaking; it was the chief of a band, the apostle who was bringing truth.","Ce n'était plus le secrétaire de l'association qui parlait, c'était le chef de bande, l'apôtre apportant la vérité.","Ce n ' était plus le secrétaire de l ' association qui parlait ; c ' était le chef d ' une bande , l ' apôtre qui portait la vérité ."
16,On both sides I had windows opening over these unexplored depths.,"De chaque côté, j'avais une fenêtre ouverte sur ces abîmes inexplorés.","Sur deux côtés , j ' avais ouvert les fenêtres en avant ."
17,His muscles exhibited remarkable proofs of tenacity.,Ses muscles présentaient de remarquables symptômes de tonicité.,Ses muscles avaient une preuve remarquable de .
18,"His impassive air, his severe and almost cruel eyes, his pallor, his unalterable coolness won him a reputation from the first day.","Son air impassible, ses yeux sévères et presque méchants, sa pâleur, son inaltérable sang-froid commencèrent sa réputation dès le premier jour.","Son air impassible et ses yeux cruels et presque cruels , sa pâleur lui rendirent une réputation de leur premier jour ."
19,"""Yes.""",-- Oui.,-- Oui .
20,"'This is what I cannot endure,' cried Mathilde, seizing the letter; 'you are forgetting me entirely, me who am your wife.","– Voilà ce que je ne puis souffrir, s’écria Mathilde en s’emparant de la lettre ; vous m’oubliez tout à fait, moi qui suis votre épouse.","– C ’ est ce que je ne puis supporter , s ’ écria Mathilde en saisissant la lettre ; vous m ’ entièrement , moi qui suis votre femme ."
21,"""And she loved him, too, no doubt?""",--Et elle l'aimait beaucoup sans doute.,-- Et elle l ' aimait aussi sans doute ?
22,"However, Xury could not cut off his head, but he cut off a foot, and brought it with him, and it was a monstrous great one.","Toutefois Xury ne put pas la lui trancher, mais il lui coupa une patte qu'il m'apporta: elle était monstrueuse.","Xury , néanmoins , ne put point couper la tête ; mais il coupa pied à un pied et le lui fit , et c ' était un grand animal monstrueux ."
